id,customerId,policyType,startDate,premiumPerMonth
1,4192,Pet,11/22/20,35.58
2,3010,Auto,7/10/22,133.8
3,2510,Pet,2/17/22,19.78
4,2466,Auto,11/13/19,145.71
5,2913,Auto,5/27/21,154.76
6,2379,Home,10/29/19,116.19
7,3732,Home,9/27/20,123.29
8,3583,Home,10/11/21,96.87
9,3066,Home,12/11/20,121.65
10,3536,Auto,2/22/20,134.52
11,3623,Home,7/30/22,130.76
12,3043,Pet,2/25/20,17.31
13,1891,Auto,5/12/21,138.16
14,4781,Auto,1/15/22,134.66
15,3684,Auto,10/23/20,118.64
16,1920,Home,12/15/20,104.92
17,1836,Home,5/9/22,102.55
18,2248,Home,12/16/20,110.13
19,974,Auto,5/23/20,127.96
20,2793,Home,10/1/20,110.18
21,3881,Auto,3/20/21,137
22,3678,Auto,6/17/20,132.25
23,4161,Auto,8/2/22,138.86
24,4811,Auto,2/8/20,130.79
25,2792,Auto,4/7/20,121.29
26,4629,Home,3/29/20,107.45
27,1426,Auto,9/7/22,134.58
28,1189,Home,5/24/20,127.71
29,4475,Home,8/9/21,118.86
30,1177,Auto,11/12/21,149.79
31,2440,Home,2/21/20,98.5
32,3119,Home,8/23/21,96.16
33,211,Auto,9/8/20,117.11
34,2690,Home,5/19/20,105.74
35,3199,Home,12/28/19,117.29
36,1049,Auto,1/21/21,122.46
37,2920,Home,1/21/22,114.59
38,1230,Home,1/1/21,113.56
39,4918,Auto,2/6/20,136.53
40,752,Home,4/12/21,115.64
41,3470,Auto,10/16/21,126.33
42,3079,Pet,1/28/22,20.77
43,1672,Home,6/6/22,97.73
44,327,Auto,1/19/21,120.57
45,3751,Home,8/11/21,131.7
46,185,Home,11/15/21,95.33
47,3256,Auto,10/15/20,151.68
48,2612,Home,2/2/22,123.49
49,2569,Auto,10/23/20,120.29
50,26,Auto,10/9/22,154.65
51,1506,Home,9/10/21,100.51
52,4427,Pet,5/6/22,32.22
53,222,Home,4/16/21,127.05
54,3016,Pet,7/1/22,17.46
55,3042,Home,4/21/21,128.92
56,2612,Home,11/1/21,104.24
57,776,Home,3/30/20,98.4
58,1024,Auto,12/9/21,139.52
59,2493,Home,3/12/22,131.89
60,4854,Auto,11/1/21,120.67
61,3784,Home,1/20/22,118.27
62,2514,Home,7/8/21,112.43
63,1242,Auto,1/12/21,136.94
64,1418,Home,9/27/21,124.76
65,3009,Home,10/8/22,127.88
66,4533,Home,10/2/22,98.63
67,1047,Home,11/4/19,117.82
68,1251,Home,1/20/20,111.81
69,455,Pet,9/13/22,28
70,3962,Pet,3/17/21,35.22
71,3811,Auto,4/16/20,127.03
72,2221,Pet,3/3/22,29.58
73,4345,Pet,11/26/20,24.65
74,1692,Home,8/25/21,96.68
75,4201,Auto,1/24/21,118.48
76,4134,Home,3/13/20,124.14
77,677,Auto,2/20/20,148.11
78,654,Home,1/1/21,134.9
79,3974,Home,4/12/20,111.18
80,1866,Auto,9/8/20,125.36
81,2452,Pet,4/29/22,22.19
82,1832,Auto,7/24/21,148.05
83,4445,Auto,1/8/22,130.1
84,1563,Auto,1/26/20,155.53
85,1625,Home,5/24/21,134.32
86,2829,Pet,3/11/20,29.71
87,4975,Auto,6/22/20,147.54
88,3191,Pet,6/5/21,33.09
89,3779,Auto,2/23/20,146.79
90,922,Home,10/22/21,105.63
91,4433,Home,1/7/21,111.53
92,4569,Home,12/19/20,135.99
93,1618,Home,9/20/22,115.77
94,1155,Home,7/20/22,132.16
95,775,Home,3/12/22,134.46
96,4090,Pet,8/16/20,28.81
97,4786,Home,1/13/21,95.91
98,2894,Auto,10/20/21,138.84
99,22,Home,12/1/21,112.37
100,4522,Home,5/16/22,120.23
101,773,Home,5/12/22,128.81
102,3797,Auto,1/22/22,133.26
103,4079,Home,8/27/22,132.9
104,1270,Home,8/25/21,118.13
105,98,Auto,7/25/21,130.24
106,4921,Home,5/31/22,98.92
107,1100,Auto,4/18/22,121.02
108,3246,Home,11/29/21,117.19
109,3247,Auto,11/14/21,119.68
110,4536,Auto,10/27/19,154.38
111,1211,Pet,2/24/20,32.77
112,1425,Home,2/3/20,117.2
113,1583,Auto,3/6/22,144.91
114,530,Home,6/16/22,96.21
115,2289,Home,10/24/21,130.61
116,800,Home,4/29/21,100.92
117,4912,Auto,6/4/22,125.64
118,4214,Pet,1/5/21,22.08
119,3044,Home,6/19/20,126.4
120,4333,Home,7/29/21,114.85
121,385,Home,10/8/19,130.74
122,4922,Home,1/1/21,113.44
123,2996,Auto,2/19/22,149.14
124,2969,Home,2/15/20,108.22
125,1506,Auto,12/28/19,139.78
126,2525,Pet,8/14/22,18.96
127,1493,Home,8/3/21,132.69
128,1866,Home,10/3/20,123.91
129,1138,Home,11/2/19,134.09
130,2263,Auto,3/13/20,145.18
131,1486,Home,6/19/20,129.18
132,693,Home,7/29/20,117.53
133,354,Home,5/21/20,127.94
134,3468,Auto,8/14/22,143.73
135,1562,Home,6/8/21,108.82
136,1838,Home,4/4/21,116.55
137,2404,Home,7/23/22,122.94
138,3099,Home,10/31/19,103.98
139,3974,Home,12/26/19,102.7
140,4652,Home,4/19/20,114.82
141,112,Home,10/6/20,120.09
142,2039,Home,11/19/20,107.15
143,3264,Home,12/19/21,117.19
144,3940,Auto,10/24/20,146.3
145,1477,Home,12/16/19,105.76
146,3651,Home,4/20/22,126.12
147,1946,Auto,5/20/22,118.6
148,329,Home,8/10/21,106.23
149,3901,Home,5/11/20,113.6
150,4340,Home,1/18/22,131.6
151,4477,Pet,11/16/20,22.18
152,2388,Home,1/21/21,127.92
153,3730,Auto,6/12/20,115.64
154,4154,Home,7/9/22,129.19
155,3897,Home,7/20/20,105
156,2158,Home,12/29/21,109.24
157,2804,Home,4/10/22,119.49
158,3288,Auto,2/2/20,135.88
159,2126,Home,1/24/21,134.38
160,4008,Auto,11/8/20,124.29
161,270,Pet,11/2/19,30.59
162,2238,Auto,5/5/20,115.01
163,3737,Home,12/3/21,134.33
164,4332,Home,5/8/22,103.9
165,325,Auto,4/29/20,137.61
166,3548,Home,2/28/22,126.16
167,533,Pet,8/13/22,28.21
168,4521,Home,10/22/20,107.8
169,3208,Home,11/17/20,116.05
170,2481,Home,3/27/21,95.54
171,4641,Home,3/1/22,132.04
172,3211,Auto,6/20/22,130.62
173,4740,Auto,10/9/19,121.82
174,2989,Auto,7/24/22,133.78
175,4844,Auto,3/25/20,124.28
176,2812,Auto,12/14/21,145.75
177,4545,Home,11/21/20,128.92
178,4532,Auto,4/23/21,131.39
179,1954,Auto,9/27/20,127.73
180,2665,Home,9/13/21,110.19
181,2286,Home,6/6/21,130.16
182,3774,Home,9/11/20,132.97
183,1350,Auto,8/27/21,126.35
184,795,Home,8/14/20,121.48
185,491,Home,7/6/21,127.84
186,3226,Home,1/14/22,134.14
187,2549,Home,3/23/21,131.46
188,1508,Home,1/7/22,100.58
189,388,Home,4/4/22,117.02
190,3043,Home,7/27/22,104.95
191,2273,Auto,6/28/20,138.86
192,817,Home,3/3/22,112.94
193,2044,Home,8/28/22,135.47
194,2780,Home,9/30/22,115.06
195,1691,Auto,2/22/22,151.14
196,484,Auto,2/1/22,144.43
197,4986,Auto,7/30/22,148.67
198,2889,Home,9/3/20,100.79
199,1892,Pet,7/10/21,19.87
200,3252,Auto,8/12/22,143
201,3619,Auto,1/31/22,129.59
202,3743,Auto,6/28/21,149.44
203,1486,Home,1/27/20,98.31
204,2191,Home,5/14/20,113.16
205,1062,Home,10/22/21,114.47
206,521,Auto,9/10/22,116.09
207,1267,Home,3/9/22,96.71
208,4444,Home,3/16/20,116.48
209,3004,Auto,5/30/21,144.3
210,4970,Auto,8/9/22,141.17
211,4616,Home,8/2/22,131.24
212,372,Auto,11/8/19,144.97
213,4967,Home,10/27/19,135.23
214,4500,Home,12/10/21,95.9
215,1246,Pet,2/25/21,22.48
216,2666,Auto,9/26/21,123.33
217,4516,Home,5/9/21,109.96
218,893,Pet,3/14/21,25.35
